edad,genero,ingreso_mensual,es_frecuente,grupo_tamano,dia_semana,hora_llegada,duracion_estancia,bebidas_alcoholicas,bebidas_sin_alcohol,comida,promocion_activa,evento_especial,gasto_total
22,1,19596.8514,1,2,0,0,1.258052241,3,2,0,1,0,388.977965
43,0,19435.5952,1,3,4,22,3.687894262,4,0,1,1,0,564.9277879
21,1,12736.49234,1,1,5,20,2.717776637,4,1,1,1,0,573.5707048
37,0,21951.32543,1,4,5,18,3.358419615,3,1,1,0,0,575.0057356
41,1,27651.79209,0,1,3,21,2.504933975,3,2,1,1,0,468.2868119
57,0,17686.89825,0,3,6,23,2.649432301,1,0,0,0,0,247.7636782
46,1,12481.52541,1,3,2,21,2.800705836,1,0,1,0,0,375.4354863
32,1,10251.75789,0,4,0,19,2.728692844,2,0,1,1,0,356.7021734
41,1,19144.30506,0,5,5,18,2.870365463,1,3,1,1,0,392.7318533
26,0,16368.0957,0,5,3,21,2.442840445,2,1,0,1,0,326.1902846
43,0,17373.75571,0,2,3,1,3.380801229,2,1,1,0,0,518.9985445
64,1,18070.97112,0,1,5,22,1.383811818,0,2,0,1,0,226.7446802
60,1,9146.324056,1,2,2,0,2.477236206,2,1,1,1,0,453.3760439
44,1,22688.91134,1,5,1,1,3.761936276,4,1,1,1,0,613.0661407
26,0,19405.90833,0,1,5,2,1.323099409,2,0,1,0,0,337.0835944
57,1,17552.30326,0,3,4,21,2.274575689,0,3,1,0,0,356.2378916
56,0,19391.14318,0,2,5,23,2.385900443,1,3,1,0,1,448.3925854
22,0,23556.85733,0,5,1,23,2.164850902,2,2,1,0,0,444.6844279
25,1,18320.54785,1,1,0,18,1.72860231,0,1,0,0,1,262.9648146
62,1,12898.59632,0,3,3,18,2.65876643,2,1,1,0,0,470.5971482
18,0,24997.39888,1,1,3,19,3.224007114,2,1,1,1,1,554.4844054
29,0,15400.05692,0,1,5,22,3.091543211,4,2,0,0,1,582.1270503
24,0,13647.17989,0,4,3,21,2.597897228,1,2,0,0,1,415.6734012
37,0,8628.024928,0,2,4,1,3.631148518,0,1,0,0,0,322.6513723
62,1,18047.49003,0,1,0,1,3.591401427,0,1,1,0,0,354.4780412
23,1,11714.13784,0,1,3,19,1.748991425,1,2,1,0,0,424.5421761
42,1,14885.20199,1,4,5,22,2.760815941,2,0,0,1,0,344.1875521
18,0,20695.72465,0,5,4,1,1.612956837,1,1,0,0,0,259.2817376
52,0,18199.61928,1,4,1,23,2.201164516,5,3,1,0,0,706.0543125
27,1,24097.72337,0,5,6,0,2.320516997,2,0,1,1,1,432.9142118
32,0,19830.82377,0,3,6,18,1.809061596,4,1,1,1,0,502.4137094
56,0,15576.62731,1,3,4,22,1.977112703,0,2,1,0,0,413.625672
22,0,16021.78353,1,2,0,1,2.398349151,3,1,1,1,1,634.1199644
64,0,14955.75619,0,4,3,19,2.642226155,0,3,1,1,0,318.7050364
27,0,21878.2277,0,5,0,23,1.469794581,4,1,1,1,1,494.620816
